-- 근태
-- dml - Attendance1.sql
-- depth4
-- 작성자: 김민도

-- 기준일: 2026-02-06 (금)
-- 휴일 및 년도별 공휴일에는 데이터값 입력하지 않았음
-- 오전입실 확률 85% / 오후입실 확률 10% / 병가확률 5%(입실,퇴실 없음)
-- 오전입실 '정상'(attendanceTypeSeq=1) 입실(8시30분~8시59분59초) -> 퇴실(17시50분~17시59분59초) 확률 90% / '조퇴'(attendanceTypeSeq=4) 퇴실(16시50분~16시59분59초) 확률 10%
-- 오후입실 '지각'(attendanceTypeSeq=2) 입실(14시00분~14시59분59초) 퇴실(17시50분~17시59분59초)
-- '병가'(attendanceTypeSeq=5)

-- registeredCourseSeq 1, java 과정
-- 2024-01-02 시작 ~ 2024-06-30 종료
-- 1강의실 30/30명
INSERT INTO ATTENDANCE VALUES (1, TO_DATE('2024-01-02', 'YYYY-MM-DD'), TO_DATE('2024-01-02 08:07:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-02 17:55:01', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (3274, TO_DATE('2024-05-30', 'YYYY-MM-DD'), TO_DATE('2024-05-30 14:47:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-30 17:55:35', 'YYYY-MM-DD HH24:MI:SS'), 27, 2);
INSERT INTO ATTENDANCE VALUES (3275, TO_DATE('2024-05-31', 'YYYY-MM-DD'), TO_DATE('2024-05-31 08:00:21', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-31 17:55:12', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3276, TO_DATE('2024-06-03', 'YYYY-MM-DD'), TO_DATE('2024-06-03 08:03:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-03 17:53:25', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3277, TO_DATE('2024-06-04', 'YYYY-MM-DD'), TO_DATE('2024-06-04 08:13:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-04 17:53:28', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3278, TO_DATE('2024-06-05', 'YYYY-MM-DD'), TO_DATE('2024-06-05 08:27:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-05 17:57:24', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3279, TO_DATE('2024-06-07', 'YYYY-MM-DD'), TO_DATE('2024-06-07 08:16:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-07 17:51:26', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3280, TO_DATE('2024-06-10', 'YYYY-MM-DD'), TO_DATE('2024-06-10 08:20:17', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-10 17:50:55', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3281, TO_DATE('2024-06-11', 'YYYY-MM-DD'), NULL, NULL, 27, 5);
INSERT INTO ATTENDANCE VALUES (3282, TO_DATE('2024-06-12', 'YYYY-MM-DD'), TO_DATE('2024-06-12 14:22:39', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-12 17:54:26', 'YYYY-MM-DD HH24:MI:SS'), 27, 2);
INSERT INTO ATTENDANCE VALUES (3283, TO_DATE('2024-06-13', 'YYYY-MM-DD'), TO_DATE('2024-06-13 08:23:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-13 17:52:52', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3284, TO_DATE('2024-06-14', 'YYYY-MM-DD'), TO_DATE('2024-06-14 08:06:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-14 17:59:20', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3285, TO_DATE('2024-06-17', 'YYYY-MM-DD'), TO_DATE('2024-06-17 08:13:28', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-17 17:58:37', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3286, TO_DATE('2024-06-18', 'YYYY-MM-DD'), TO_DATE('2024-06-18 08:24:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-18 17:54:26', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3287, TO_DATE('2024-06-19', 'YYYY-MM-DD'), TO_DATE('2024-06-19 08:11:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-19 17:55:53', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3288, TO_DATE('2024-06-20', 'YYYY-MM-DD'), TO_DATE('2024-06-20 14:30:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-20 17:50:47', 'YYYY-MM-DD HH24:MI:SS'), 27, 2);
INSERT INTO ATTENDANCE VALUES (3289, TO_DATE('2024-06-21', 'YYYY-MM-DD'), TO_DATE('2024-06-21 08:06:23', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-21 17:58:04', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3290, TO_DATE('2024-06-24', 'YYYY-MM-DD'), TO_DATE('2024-06-24 08:25:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-24 16:52:01', 'YYYY-MM-DD HH24:MI:SS'), 27, 4);
INSERT INTO ATTENDANCE VALUES (3291, TO_DATE('2024-06-25', 'YYYY-MM-DD'), TO_DATE('2024-06-25 08:24:52', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-25 17:58:42', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3292, TO_DATE('2024-06-26', 'YYYY-MM-DD'), TO_DATE('2024-06-26 08:18:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-26 17:53:05', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3293, TO_DATE('2024-06-27', 'YYYY-MM-DD'), TO_DATE('2024-06-27 08:28:01', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-27 17:57:40', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3294, TO_DATE('2024-06-28', 'YYYY-MM-DD'), TO_DATE('2024-06-28 08:18:23', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-06-28 17:56:20', 'YYYY-MM-DD HH24:MI:SS'), 27, 1);
INSERT INTO ATTENDANCE VALUES (3295, TO_DATE('2024-01-02', 'YYYY-MM-DD'), TO_DATE('2024-01-02 08:26:46', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-02 16:54:24', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3296, TO_DATE('2024-01-03', 'YYYY-MM-DD'), TO_DATE('2024-01-03 08:24:30', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-03 16:58:50', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3297, TO_DATE('2024-01-04', 'YYYY-MM-DD'), TO_DATE('2024-01-04 08:11:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-04 16:58:29', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3298, TO_DATE('2024-01-05', 'YYYY-MM-DD'), TO_DATE('2024-01-05 08:02:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-05 17:52:55', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3299, TO_DATE('2024-01-08', 'YYYY-MM-DD'), TO_DATE('2024-01-08 08:16:34', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-08 17:59:36', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3300, TO_DATE('2024-01-09', 'YYYY-MM-DD'), TO_DATE('2024-01-09 08:29:26', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-09 17:51:43', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3301, TO_DATE('2024-01-10', 'YYYY-MM-DD'), TO_DATE('2024-01-10 08:05:54', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-10 17:55:02', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3302, TO_DATE('2024-01-11', 'YYYY-MM-DD'), TO_DATE('2024-01-11 08:15:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-11 17:53:39', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3303, TO_DATE('2024-01-12', 'YYYY-MM-DD'), TO_DATE('2024-01-12 08:09:23', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-12 17:50:17', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3304, TO_DATE('2024-01-15', 'YYYY-MM-DD'), TO_DATE('2024-01-15 08:21:54', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-15 17:58:14', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3305, TO_DATE('2024-01-16', 'YYYY-MM-DD'), TO_DATE('2024-01-16 08:04:58', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-16 17:50:01', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3306, TO_DATE('2024-01-17', 'YYYY-MM-DD'), TO_DATE('2024-01-17 08:05:57', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-17 17:54:59', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3307, TO_DATE('2024-01-18', 'YYYY-MM-DD'), TO_DATE('2024-01-18 08:07:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-18 17:55:26', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3308, TO_DATE('2024-01-19', 'YYYY-MM-DD'), TO_DATE('2024-01-19 14:20:18', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-19 17:58:58', 'YYYY-MM-DD HH24:MI:SS'), 28, 2);
INSERT INTO ATTENDANCE VALUES (3309, TO_DATE('2024-01-22', 'YYYY-MM-DD'), TO_DATE('2024-01-22 08:25:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-22 17:53:22', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3310, TO_DATE('2024-01-23', 'YYYY-MM-DD'), TO_DATE('2024-01-23 08:20:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-23 17:54:52', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3311, TO_DATE('2024-01-24', 'YYYY-MM-DD'), TO_DATE('2024-01-24 08:21:41', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-24 17:50:22', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3312, TO_DATE('2024-01-25', 'YYYY-MM-DD'), TO_DATE('2024-01-25 08:10:27', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-25 17:51:29', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3313, TO_DATE('2024-01-26', 'YYYY-MM-DD'), TO_DATE('2024-01-26 08:28:31', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-26 17:51:49', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3314, TO_DATE('2024-01-29', 'YYYY-MM-DD'), TO_DATE('2024-01-29 08:08:33', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-29 17:57:02', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3315, TO_DATE('2024-01-30', 'YYYY-MM-DD'), TO_DATE('2024-01-30 08:21:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-30 17:54:06', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3316, TO_DATE('2024-01-31', 'YYYY-MM-DD'), TO_DATE('2024-01-31 08:15:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-31 17:56:20', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3317, TO_DATE('2024-02-01', 'YYYY-MM-DD'), TO_DATE('2024-02-01 08:10:34', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-01 17:52:46', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3318, TO_DATE('2024-02-02', 'YYYY-MM-DD'), TO_DATE('2024-02-02 08:23:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-02 17:51:34', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3319, TO_DATE('2024-02-05', 'YYYY-MM-DD'), TO_DATE('2024-02-05 08:15:27', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-05 17:57:48', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3320, TO_DATE('2024-02-06', 'YYYY-MM-DD'), TO_DATE('2024-02-06 08:08:38', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-06 17:54:23', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3321, TO_DATE('2024-02-07', 'YYYY-MM-DD'), TO_DATE('2024-02-07 08:27:43', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-07 17:51:28', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3322, TO_DATE('2024-02-08', 'YYYY-MM-DD'), TO_DATE('2024-02-08 08:02:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-08 17:55:25', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3323, TO_DATE('2024-02-13', 'YYYY-MM-DD'), TO_DATE('2024-02-13 08:19:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-13 17:59:42', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3324, TO_DATE('2024-02-14', 'YYYY-MM-DD'), TO_DATE('2024-02-14 08:05:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-14 17:51:12', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3325, TO_DATE('2024-02-15', 'YYYY-MM-DD'), TO_DATE('2024-02-15 08:01:31', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-15 17:58:43', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3326, TO_DATE('2024-02-16', 'YYYY-MM-DD'), TO_DATE('2024-02-16 08:25:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-16 17:52:09', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3327, TO_DATE('2024-02-19', 'YYYY-MM-DD'), TO_DATE('2024-02-19 08:04:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-19 17:55:19', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3328, TO_DATE('2024-02-20', 'YYYY-MM-DD'), TO_DATE('2024-02-20 08:27:52', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-20 17:55:56', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3329, TO_DATE('2024-02-21', 'YYYY-MM-DD'), TO_DATE('2024-02-21 08:16:47', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-21 17:51:35', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3330, TO_DATE('2024-02-22', 'YYYY-MM-DD'), TO_DATE('2024-02-22 08:24:38', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-22 17:59:57', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3331, TO_DATE('2024-02-23', 'YYYY-MM-DD'), TO_DATE('2024-02-23 08:28:29', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-23 17:56:54', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3332, TO_DATE('2024-02-26', 'YYYY-MM-DD'), TO_DATE('2024-02-26 08:05:21', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-26 17:59:19', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3333, TO_DATE('2024-02-27', 'YYYY-MM-DD'), TO_DATE('2024-02-27 08:07:48', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-27 17:52:23', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3334, TO_DATE('2024-02-28', 'YYYY-MM-DD'), TO_DATE('2024-02-28 08:08:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-28 16:57:03', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3335, TO_DATE('2024-02-29', 'YYYY-MM-DD'), TO_DATE('2024-02-29 08:23:16', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-29 17:51:33', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3336, TO_DATE('2024-03-04', 'YYYY-MM-DD'), TO_DATE('2024-03-04 08:08:55', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-04 16:56:40', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3337, TO_DATE('2024-03-05', 'YYYY-MM-DD'), TO_DATE('2024-03-05 08:29:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-05 17:58:23', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3338, TO_DATE('2024-03-06', 'YYYY-MM-DD'), TO_DATE('2024-03-06 08:05:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-06 17:56:24', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3339, TO_DATE('2024-03-07', 'YYYY-MM-DD'), TO_DATE('2024-03-07 08:29:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-07 17:55:36', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3340, TO_DATE('2024-03-08', 'YYYY-MM-DD'), TO_DATE('2024-03-08 08:10:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-08 16:53:31', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3341, TO_DATE('2024-03-11', 'YYYY-MM-DD'), TO_DATE('2024-03-11 08:10:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-11 17:59:35', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3342, TO_DATE('2024-03-12', 'YYYY-MM-DD'), TO_DATE('2024-03-12 08:25:24', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-12 17:59:16', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3343, TO_DATE('2024-03-13', 'YYYY-MM-DD'), TO_DATE('2024-03-13 08:01:09', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-13 17:56:52', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3344, TO_DATE('2024-03-14', 'YYYY-MM-DD'), TO_DATE('2024-03-14 08:18:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-14 17:55:13', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3345, TO_DATE('2024-03-15', 'YYYY-MM-DD'), TO_DATE('2024-03-15 08:15:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-15 17:55:18', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3346, TO_DATE('2024-03-18', 'YYYY-MM-DD'), TO_DATE('2024-03-18 08:23:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-18 17:55:20', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3347, TO_DATE('2024-03-19', 'YYYY-MM-DD'), TO_DATE('2024-03-19 08:17:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-19 17:51:41', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3348, TO_DATE('2024-03-20', 'YYYY-MM-DD'), TO_DATE('2024-03-20 08:15:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-20 17:59:41', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3349, TO_DATE('2024-03-21', 'YYYY-MM-DD'), TO_DATE('2024-03-21 08:23:26', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-21 17:56:56', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3350, TO_DATE('2024-03-22', 'YYYY-MM-DD'), TO_DATE('2024-03-22 08:07:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-22 17:55:44', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3351, TO_DATE('2024-03-25', 'YYYY-MM-DD'), TO_DATE('2024-03-25 08:24:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-25 17:58:24', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3352, TO_DATE('2024-03-26', 'YYYY-MM-DD'), TO_DATE('2024-03-26 08:17:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-26 17:52:46', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3353, TO_DATE('2024-03-27', 'YYYY-MM-DD'), TO_DATE('2024-03-27 08:19:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-27 17:51:33', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3354, TO_DATE('2024-03-28', 'YYYY-MM-DD'), TO_DATE('2024-03-28 08:17:53', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-28 17:58:59', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3355, TO_DATE('2024-03-29', 'YYYY-MM-DD'), TO_DATE('2024-03-29 14:01:38', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-29 17:58:23', 'YYYY-MM-DD HH24:MI:SS'), 28, 2);
INSERT INTO ATTENDANCE VALUES (3356, TO_DATE('2024-04-01', 'YYYY-MM-DD'), TO_DATE('2024-04-01 08:18:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-01 17:58:46', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3357, TO_DATE('2024-04-02', 'YYYY-MM-DD'), TO_DATE('2024-04-02 08:06:09', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-02 17:57:36', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3358, TO_DATE('2024-04-03', 'YYYY-MM-DD'), TO_DATE('2024-04-03 08:28:30', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-03 17:59:40', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3359, TO_DATE('2024-04-04', 'YYYY-MM-DD'), TO_DATE('2024-04-04 08:10:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-04 17:59:01', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3360, TO_DATE('2024-04-05', 'YYYY-MM-DD'), TO_DATE('2024-04-05 08:11:54', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-05 16:52:18', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3361, TO_DATE('2024-04-08', 'YYYY-MM-DD'), NULL, NULL, 28, 5);
INSERT INTO ATTENDANCE VALUES (3362, TO_DATE('2024-04-09', 'YYYY-MM-DD'), NULL, NULL, 28, 5);
INSERT INTO ATTENDANCE VALUES (3363, TO_DATE('2024-04-11', 'YYYY-MM-DD'), TO_DATE('2024-04-11 08:23:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-11 17:50:50', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3364, TO_DATE('2024-04-12', 'YYYY-MM-DD'), NULL, NULL, 28, 5);
INSERT INTO ATTENDANCE VALUES (3365, TO_DATE('2024-04-15', 'YYYY-MM-DD'), TO_DATE('2024-04-15 08:09:28', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-15 16:55:26', 'YYYY-MM-DD HH24:MI:SS'), 28, 4);
INSERT INTO ATTENDANCE VALUES (3366, TO_DATE('2024-04-16', 'YYYY-MM-DD'), TO_DATE('2024-04-16 08:19:16', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-16 17:51:22', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3367, TO_DATE('2024-04-17', 'YYYY-MM-DD'), TO_DATE('2024-04-17 08:26:57', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-17 17:50:22', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
INSERT INTO ATTENDANCE VALUES (3368, TO_DATE('2024-04-18', 'YYYY-MM-DD'), TO_DATE('2024-04-18 08:22:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-18 17:56:08', 'YYYY-MM-DD HH24:MI:SS'), 28, 1);
